"annotation_id","conversation_id","tweet_id","created_at","sampling_stratum","text_display","primary_intent","secondary_intent","confidence","is_ambiguous","needs_discussion","notes"
"b01_0001","conv_1001596","1001596","2017-10-14 12:13:29","random","Wow that was crazy.. never been on a plane diverted for an emergency. Big props to our pilot at @AmericanAir for getting us down so fast.","","","","","",""
"b01_0002","conv_1028495","1028495","2017-10-23 02:03:07","random","I've only flown @AmericanAir twice and BOTH times they've delayed their flights by 2 hours. This time, it's due to a crew issue...","","","","","",""
"b01_0003","conv_1048364","1048364","2017-10-14 19:00:09","random","@AmericanAir at DCA inhaling diesel waiting for the bus to shuttle us to the plan.  #ridiculous #3rd world airport","","","","","",""
"b01_0004","conv_1072972","1072972","2017-10-23 15:53:58","random","@AmericanAir I hate that I can not log in and change a canceled ticket from last week that I want to use the value of on a ticket next week!","","","","","",""
"b01_0005","conv_1092480","1092480","2017-10-15 03:46:30","random","@AmericanAir you delayed, lost luggage &amp; charged for us to remain stuck 👍🏽 https://t.co/TTOEpnA39r","","","","","",""
"b01_0006","conv_110351","110351","2017-11-23 18:38:20","random","My 2.5-hour @AmericanAir delay turned into a 3 hr 35 min delay, and I found teabags in my suitcase but @DunkinDonuts charged me a dollar for a cup of hot water! Real #Thanksgiving spirit https://t.co/MAZ4cliSxQ","","","","","",""
"b01_0007","conv_1105683","1105683","2017-10-23 23:01:36","random","@AmericanAir what's going on with flight 1386? Keeps getting delayed","","","","","",""
"b01_0008","conv_1146839","1146839","2017-10-15 15:57:10","random","Hey @AmericanAir you're killing us financially here in Chicago. Get your sh*t 2gether so we can actually start our vacation. #stuckinchicago","","","","","",""
"b01_0009","conv_1147215","1147215","2017-10-24 14:08:12","random","@AmericanAir Can you please help me out? I am flying this Friday from Philly to Amsterdam. Can't find my Record Locater? Regards,","","","","","",""
"b01_0010","conv_1148645","1148645","2017-10-15 16:02:38","random","Wasted a whole day, cant enjoy my #honeymoon yet because @AmericanAir is the most disfunctional airline I've ever experienced. #nothappy","","","","","",""
"b01_0011","conv_1155805","1155805","2017-10-15 16:40:45","random",".@AmericanAir Michael Fernandez from your team working at ORD is amazing. Flight from BUF-&gt;ORD got messed up and he helped us fix things!","","","","","",""
"b01_0012","conv_1178232","1178232","2017-10-24 21:13:21","random","If he doesn’t like his job he shouldn’t be working in customer service! Switch positions do something else. Sheesh! #AmericanAirlines","","","","","",""
"b01_0013","conv_1182208","1182208","2017-10-15 19:29:03","random","s/o to @AmericanAir who refunds you when you tell them how your ex still owes you money and you have a plane/cruise ticket in his name 🤷🏼‍♀️","","","","","",""
"b01_0014","conv_1186015","1186015","2017-10-24 23:00:25","random","That was my first time on an @AmericanAir @167849 Dash-8!  It was a great flight from AVP &gt; PHL. Diane &amp; the crew did a great job.","","","","","",""
