retest_id,text,primary_intent,secondary_intent,confidence,is_ambiguous,needs_discussion,notes
rt_001,@AmericanAir customer service reps at PHX assistance at gate A4 are RUDE AS FUCK https://t.co/TLlA3QcBSO,staff_and_service_complaint,,high,,,Explicitly calls customer-service reps rude at the gate.
rt_002,@AmericanAir you have a real star employee named Gina at the Seattle airport!She has been killing it for ea person that's needed help.#raise,praise_and_compliment,,high,,,Clearly praises a specific employee for helping customers.
rt_003,"Wasted a whole day, cant enjoy my #honeymoon yet because @AmericanAir is the most disfunctional airline I've ever experienced. #nothappy",general_dissatisfaction,,high,,,
rt_004,"I’ve always said that @AmericanAir is my favorite and that I’ve never encountered an issue with them before. Sadly, that ended today, in the most unfortunate of circumstances. Extremely dissatisfied and disappointed 😔",general_dissatisfaction,,high,,,
rt_005,.@AmericanAir I just wanted to say what a great flight and crew we just had on AA #151 Paris to Chicago! Thank you,praise_and_compliment,,high,,,
rt_006,"@AmericanAir You charged me $50 to check my carry on at the gate, since I was in group 9.  Since when do you sell economy tickets that you have to pay for a carry on?!",baggage,,high,,,Carry-on bag fee; v2 explicitly says baggage wins when a bag is involved
rt_007,"Heading Back To Warm New,York My Favorite Airline @AmericanAir  / Can't Wait!Hopefully On Time.",praise_and_compliment,,medium,yes,yes,"Calls AA a favorite airline, but “hopefully on time” introduces a possible concern. Positive evaluation is dominant"
rt_008,@AmericanAir I hate that I can not log in and change a canceled ticket from last week that I want to use the value of on a ticket next week!,flight_cancellation_rebooking,,high,,,
rt_009,Awesome @AmericanAir #AA1387 went from a 5:20pm departure to a 9:30pm departure.  😡,flight_delay,,high,,,
rt_010,Quick question @AmericanAir if I fly Qatar GRU to EZE in business will I get points? Chart says Middle East to SA. What about within SA?,loyalty_and_lounge,,high,,,
rt_011,@AmericanAir So we wait for a plane to leave one gate. Now reassigned a new gate. Waiting on a plane there. #areyoufreakingkidding,boarding_and_gate,,high,,,Explicitly about being reassigned to a new gate and waiting there
rt_012,"@AmericanAir you are out of your mind $800 to keep my Gold, it was $400 just a few years ago and better service!!!!!",loyalty_and_lounge,,high,,,
rt_013,@AmericanAir never fails to disappoint. I’d like to depart on time for once. Fix your broken ass planes. A sack of potatoes can run an airline better than you morons.,flight_delay,,high,,,
rt_014,@AmericanAir just because it's Christmas we must pay outrageous prices for flights to see family? #nogifts #whereisthelove #robbery https://t.co/0BYj6pIILC,booking_fees_and_fare_rules,,high,,,
rt_015,"As a customer and AAdvantage member, I feel ashamed as @AmericanAir scams its customers. They charge for special seats that are not how they are reflected on the selection page.",seating_and_upgrade,,high,,,Explicitly about paid special seats not matching what was shown during selection.
rt_016,"@AmericanAir hi, I arrive to Heathrow T2 at 09.00 on 29th Oct and have AA101 departing at 10.15 from T3 with you - is this enough time? Thx!",booking_fees_and_fare_rules,,medium,yes,yes,"Flight schedule/check-in timing question. There is no dedicated schedule-information intent, so booking/fare rules is the closest category."
rt_017,@AmericanAir Flight 598 delayed again for four hours. Third bad experience with American airlines. I won't fly with AA anymore.,flight_delay,,high,,,
rt_018,Flying @AmericanAir !,non_support_commentary,,high,,,Just “Flying @AmericanAir!” — no request or service evaluation.
rt_019,Thank you @AmericanAir for looking out for your customers during tough times! Much appreciated.,praise_and_compliment,,high,,,
rt_020,People are lucky I’m not how I used to be and have learned how to keep my anger under control. / Y’all are RUDE and DISRESPECTFUL @AmericanAir,general_dissatisfaction,,high,,yes,
rt_021,@AmericanAir why is it every time I fly with you guys the flight is either incredibly late or is cancelled?,flight_cancellation_rebooking,flight_delay,high,yes,yes,talking about the both cancellation as well late
rt_022,@AmericanAir When is the Flagship Lounge at LAX going to open?,loyalty_and_lounge,,high,,,
rt_023,@AmericanAir WiFi marketed flight but no WiFi available. What gives? https://t.co/l30JiJNwFT,OTHER,,high,,,"WiFi availability is a genuine support issue, but there is no dedicated technical/inflight intent in v2."
rt_024,@AmericanAir is there ever a situation where the change fee is waived? (My meeting is letting out a day early and I want to go home!),booking_fees_and_fare_rules,,high,,,Explicit question about a change-fee waiver for a voluntary itinerary change
rt_025,"@AmericanAir help! I forgot to use the promo code when booking, can it be added after the fact??",booking_fees_and_fare_rules,,high,,,
rt_026,Hey @AmericanAir if I spend my 500 mile upgrade requests &amp; then am sitting behind open seats in first class it kinda adds insult to injury.,seating_and_upgrade,,high,,,
rt_027,@131657 am i allowed into @AmericanAir lounge at ord ter4 being oneworld sapphire? Somehow @AmericanAir agents at club thinks qatar is not OW and not letting me in. Do u want a video recording?,loyalty_and_lounge,,high,,,
rt_028,Terrible customer service and treatment at LAX today from @AmericanAir charging double for a carry-on bag,general_dissatisfaction,,high,,,
rt_029,@AmericanAir Can I use my voucher to pay for my checked bags? Or food? Or Amenities?,baggage,,high,,,
rt_030,@AmericanAir look what I came across at the tokyo film festival. https://t.co/52l5IBCsbv,non_support_commentary,,high,,,
rt_031,"@AmericanAir Hi.. if I took a flight from JFK to HKG that was 12k miles, why do I only get 8k award miles?  Isn't it one for one?",loyalty_and_lounge,,high,,,
