annotation_id,conversation_id,tweet_id,created_at,sampling_stratum,text_display,primary_intent,secondary_intent,confidence,is_ambiguous,needs_discussion,notes
b02_0001,conv_1049522,1049522,14-10-2017 19:23,random,After 17 years and 2 million miles. I'm done with @AmericanAir. Sold me tix twice for flights they knew were canceled.,flight_cancellation_rebooking,,high,,,
b02_0002,conv_108572,108572,23-11-2017 18:34,random,"@AmericanAir Hi, do I need to add a middle name to boarding pass, if the middle name is on my passport? Thanks.",booking_fees_and_fare_rules,,medium,yes,yes,Question about passenger name/boarding-pass requirement no dedicated documented intent.
b02_0003,conv_116798,116798,23-11-2017 11:45,random,Flying the early morning skies w/ @AmericanAir #WheelsUpWednesday #wheelsup,non_support_commentary,,high,,,
b02_0004,conv_1176452,1176452,25-10-2017 00:37,random,@AmericanAir always uses gate A30 in #phoenix @127663 even when all the gates are empty #travel #dumb,boarding_and_gate,,high,,,
b02_0005,conv_1185623,1185623,15-10-2017 21:06,random,Explanation for now 3 hour delay PHL to GSO @AmericanAir??!!!!,flight_delay,,high,,,
b02_0006,conv_1199536,1199536,25-10-2017 04:20,random,@AmericanAir  / My wife waited@the airport for 3hr &amp; mssd her cncting flit. Now she’s stuck&amp;lokd out of the trmnl w/ no place to sleep. Thnx,flight_cancellation_rebooking,,medium,yes,yes,The important part is missed connection
b02_0007,conv_1201465,1201465,25-10-2017 12:57,random,"I've never used the app before to check in, but it's not allowing me to check in bags on the app or online. Is that normal?  @AmericanAir",baggage,,high,,,
b02_0008,conv_1207372,1207372,25-10-2017 09:29,random,"@AmericanAir hi, I arrive to Heathrow T2 at 09.00 on 29th Oct and have AA101 departing at 10.15 from T3 with you - is this enough time? Thx!",booking_fees_and_fare_rules,,medium,yes,yes,Connection timing/itinerary question no dedicated connection-planning intent
b02_0009,conv_1228879,1228879,25-10-2017 20:14,random,"@AmericanAir maint on flt, ok it happens. Lose 1st class seat due to missed flt, ok, Brdng priority 8 on new assigned coach seat, NOT COOL.",seating_and_upgrade,,high,,,
b02_0010,conv_1299741,1299741,26-10-2017 22:18,random,"@AmericanAir flight attendants have a serious issue with showing up to work on time. Here I am delayed again, waiting on them 😖",staff_and_service_complaint,,high,,,
