annotation_id,batch,sampling_stratum,taxonomy_at_labelling,labelling_independence,conversation_id,tweet_id,customer_author_id,created_at,text,primary_intent,secondary_intent,confidence,ambiguous,needs_discussion,notes
b01_0001,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1001596,1001596,357111,14-10-2017 12:13,Wow that was crazy.. never been on a plane diverted for an emergency. Big props to our pilot at @AmericanAir for getting us down so fast.,praise_and_compliment,,high,,,
b01_0002,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1028495,1028495,363350,23-10-2017 02:03,"I've only flown @AmericanAir twice and BOTH times they've delayed their flights by 2 hours. This time, it's due to a crew issue...",flight_delay,,high,,,
b01_0003,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1048364,1048364,367775,14-10-2017 19:00,@AmericanAir at DCA inhaling diesel waiting for the bus to shuttle us to the plan.  #ridiculous #3rd world airport,OTHER,,medium,,yes,Airport shuttle/ground transportation issue; no existing taxonomy category clearly fits.
b01_0004,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1072972,1072972,373186,23-10-2017 15:53,@AmericanAir I hate that I can not log in and change a canceled ticket from last week that I want to use the value of on a ticket next week!,booking_fees_and_fare_rules,,medium,,yes,"Cancellation context, but the request is about changing/reusing ticket value."
b01_0005,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1092480,1092480,377802,15-10-2017 03:46,"@AmericanAir you delayed, lost luggage &amp; charged for us to remain stuck 👍🏽 https://t.co/TTOEpnA39r",flight_delay,baggage,medium,,yes,Contains separate delay and lost-baggage issues; also mentions a charge.
b01_0006,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_110351,110351,140514,23-11-2017 18:38,"My 2.5-hour @AmericanAir delay turned into a 3 hr 35 min delay, and I found teabags in my suitcase but @DunkinDonuts charged me a dollar for a cup of hot water! Real #Thanksgiving spirit https://t.co/MAZ4cliSxQ",flight_delay,baggage,high,,,Contains a significant flight delay and a separate baggage issue; also mentions a charge from another company.
b01_0007,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1105683,1105683,380933,23-10-2017 23:01,@AmericanAir what's going on with flight 1386? Keeps getting delayed,flight_delay,,high,,,
b01_0008,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1146839,1146839,389923,15-10-2017 15:57,Hey @AmericanAir you're killing us financially here in Chicago. Get your sh*t 2gether so we can actually start our vacation. #stuckinchicago,general_dissatisfaction,,medium,,yes,No specific actionable airline issue is stated
b01_0009,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1147215,1147215,390007,24-10-2017 14:08,"@AmericanAir Can you please help me out? I am flying this Friday from Philly to Amsterdam. Can't find my Record Locater? Regards,",booking_fees_and_fare_rules,,high,,,
b01_0010,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1148645,1148645,390319,15-10-2017 16:02,"Wasted a whole day, cant enjoy my #honeymoon yet because @AmericanAir is the most disfunctional airline I've ever experienced. #nothappy",general_dissatisfaction,,high,,,
