annotation_id,conversation_id,tweet_id,created_at,sampling_stratum,text_display,primary_intent,secondary_intent,confidence,is_ambiguous,needs_discussion,notes
b01_0001,conv_1001596,1001596,14-10-2017 12:13,random,Wow that was crazy.. never been on a plane diverted for an emergency. Big props to our pilot at @AmericanAir for getting us down so fast.,praise_and_compliment,,high,,,
b01_0002,conv_1028495,1028495,23-10-2017 02:03,random,"I've only flown @AmericanAir twice and BOTH times they've delayed their flights by 2 hours. This time, it's due to a crew issue...",flight_delay,,high,,,
b01_0003,conv_1048364,1048364,14-10-2017 19:00,random,@AmericanAir at DCA inhaling diesel waiting for the bus to shuttle us to the plan.  #ridiculous #3rd world airport,OTHER,,medium,,yes,Airport shuttle/ground transportation issue; no existing taxonomy category clearly fits.
b01_0004,conv_1072972,1072972,23-10-2017 15:53,random,@AmericanAir I hate that I can not log in and change a canceled ticket from last week that I want to use the value of on a ticket next week!,booking_fees_and_fare_rules,,medium,,yes,"Cancellation context, but the request is about changing/reusing ticket value."
b01_0005,conv_1092480,1092480,15-10-2017 03:46,random,"@AmericanAir you delayed, lost luggage &amp; charged for us to remain stuck 👍🏽 https://t.co/TTOEpnA39r",flight_delay,baggage,medium,,yes,Contains separate delay and lost-baggage issues; also mentions a charge.
b01_0006,conv_110351,110351,23-11-2017 18:38,random,"My 2.5-hour @AmericanAir delay turned into a 3 hr 35 min delay, and I found teabags in my suitcase but @DunkinDonuts charged me a dollar for a cup of hot water! Real #Thanksgiving spirit https://t.co/MAZ4cliSxQ",flight_delay,baggage,high,,,Contains a significant flight delay and a separate baggage issue; also mentions a charge from another company.
b01_0007,conv_1105683,1105683,23-10-2017 23:01,random,@AmericanAir what's going on with flight 1386? Keeps getting delayed,flight_delay,,high,,,
b01_0008,conv_1146839,1146839,15-10-2017 15:57,random,Hey @AmericanAir you're killing us financially here in Chicago. Get your sh*t 2gether so we can actually start our vacation. #stuckinchicago,general_dissatisfaction,,medium,,yes,No specific actionable airline issue is stated
b01_0009,conv_1147215,1147215,24-10-2017 14:08,random,"@AmericanAir Can you please help me out? I am flying this Friday from Philly to Amsterdam. Can't find my Record Locater? Regards,",booking_fees_and_fare_rules,,high,,,
b01_0010,conv_1148645,1148645,15-10-2017 16:02,random,"Wasted a whole day, cant enjoy my #honeymoon yet because @AmericanAir is the most disfunctional airline I've ever experienced. #nothappy",general_dissatisfaction,,high,,,
b01_0011,conv_1155805,1155805,15-10-2017 16:40,random,.@AmericanAir Michael Fernandez from your team working at ORD is amazing. Flight from BUF-&gt;ORD got messed up and he helped us fix things!,praise_and_compliment,,medium,yes,yes,Praises a staff member; flight issue is mentioned but not specific enough to confidently assign a separate operational intent.
b01_0012,conv_1178232,1178232,24-10-2017 21:13,random,If he doesn’t like his job he shouldn’t be working in customer service! Switch positions do something else. Sheesh! #AmericanAirlines,staff_and_service_complaint,,high,,,
b01_0013,conv_1182208,1182208,15-10-2017 19:29,random,s/o to @AmericanAir who refunds you when you tell them how your ex still owes you money and you have a plane/cruise ticket in his name 🤷🏼‍♀️,booking_fees_and_fare_rules,,low,yes,yes,Refund/ticket ownership situation; unclear whether this fits booking/fare rules cleanly.
b01_0014,conv_1186015,1186015,24-10-2017 23:00,random,That was my first time on an @AmericanAir @167849 Dash-8!  It was a great flight from AVP &gt; PHL. Diane &amp; the crew did a great job.,praise_and_compliment,,high,,,
b01_0015,conv_1201537,1201537,15-10-2017 22:26,random,Can’t remember the last time I did NOT sit in overflow after an @AmericanAir flight. Such a waste of time,general_dissatisfaction,,medium,,yes,Complains about overflow/waiting but the specific underlying support issue is unclear.
b01_0016,conv_1220147,1220147,25-10-2017 14:57,random,"@AmericanAir hello, we were delayed 8 hours yesterday. How do we claim compensation?",flight_delay,booking_fees_and_fare_rules,medium,yes,yes,Primary issue is an 8-hour delay; compensation request creates a second fare/refund-related aspect.
b01_0017,conv_1232017,1232017,25-11-2017 19:40,random,"@AmericanAir we fly often and pay enough for our seats, to not have to have them changed 2 minutes before boarding our first out of 2 flights - Is this how you treat your customers?",seating_and_upgrade,,high,,,
b01_0018,conv_1272226,1272226,16-10-2017 07:10,random,@AmericanAir customer service reps at PHX assistance at gate A4 are RUDE AS FUCK https://t.co/TLlA3QcBSO,staff_and_service_complaint,,high,,,
b01_0019,conv_1295943,1295943,26-10-2017 21:32,random,"I'm at American Airlines Admirals Club - @americanair in Miami, FL https://t.co/CU3fEy9Yeu",non_support_commentary,,high,,,Only states location/Admirals Club; no clear customer request.
