"retest_id","text","primary_intent","secondary_intent","confidence","is_ambiguous","needs_discussion","notes"
"rt_001","@AmericanAir customer service reps at PHX assistance at gate A4 are RUDE AS FUCK https://t.co/TLlA3QcBSO","","","","","",""
"rt_002","@AmericanAir you have a real star employee named Gina at the Seattle airport!She has been killing it for ea person that's needed help.#raise","","","","","",""
"rt_003","Wasted a whole day, cant enjoy my #honeymoon yet because @AmericanAir is the most disfunctional airline I've ever experienced. #nothappy","","","","","",""
"rt_004","I’ve always said that @AmericanAir is my favorite and that I’ve never encountered an issue with them before. Sadly, that ended today, in the most unfortunate of circumstances. Extremely dissatisfied and disappointed 😔","","","","","",""
"rt_005",".@AmericanAir I just wanted to say what a great flight and crew we just had on AA #151 Paris to Chicago! Thank you","","","","","",""
"rt_006","@AmericanAir You charged me $50 to check my carry on at the gate, since I was in group 9.  Since when do you sell economy tickets that you have to pay for a carry on?!","","","","","",""
"rt_007","Heading Back To Warm New,York My Favorite Airline @AmericanAir  / Can't Wait!Hopefully On Time.","","","","","",""
"rt_008","@AmericanAir I hate that I can not log in and change a canceled ticket from last week that I want to use the value of on a ticket next week!","","","","","",""
"rt_009","Awesome @AmericanAir #AA1387 went from a 5:20pm departure to a 9:30pm departure.  😡","","","","","",""
"rt_010","Quick question @AmericanAir if I fly Qatar GRU to EZE in business will I get points? Chart says Middle East to SA. What about within SA?","","","","","",""
"rt_011","@AmericanAir So we wait for a plane to leave one gate. Now reassigned a new gate. Waiting on a plane there. #areyoufreakingkidding","","","","","",""
"rt_012","@AmericanAir you are out of your mind $800 to keep my Gold, it was $400 just a few years ago and better service!!!!!","","","","","",""
"rt_013","@AmericanAir never fails to disappoint. I’d like to depart on time for once. Fix your broken ass planes. A sack of potatoes can run an airline better than you morons.","","","","","",""
"rt_014","@AmericanAir just because it's Christmas we must pay outrageous prices for flights to see family? #nogifts #whereisthelove #robbery https://t.co/0BYj6pIILC","","","","","",""
"rt_015","As a customer and AAdvantage member, I feel ashamed as @AmericanAir scams its customers. They charge for special seats that are not how they are reflected on the selection page.","","","","","",""
"rt_016","@AmericanAir hi, I arrive to Heathrow T2 at 09.00 on 29th Oct and have AA101 departing at 10.15 from T3 with you - is this enough time? Thx!","","","","","",""
"rt_017","@AmericanAir Flight 598 delayed again for four hours. Third bad experience with American airlines. I won't fly with AA anymore.","","","","","",""
"rt_018","Flying @AmericanAir !","","","","","",""
"rt_019","Thank you @AmericanAir for looking out for your customers during tough times! Much appreciated.","","","","","",""
"rt_020","People are lucky I’m not how I used to be and have learned how to keep my anger under control. / Y’all are RUDE and DISRESPECTFUL @AmericanAir","","","","","",""
"rt_021","@AmericanAir why is it every time I fly with you guys the flight is either incredibly late or is cancelled?","","","","","",""
"rt_022","@AmericanAir When is the Flagship Lounge at LAX going to open?","","","","","",""
"rt_023","@AmericanAir WiFi marketed flight but no WiFi available. What gives? https://t.co/l30JiJNwFT","","","","","",""
"rt_024","@AmericanAir is there ever a situation where the change fee is waived? (My meeting is letting out a day early and I want to go home!)","","","","","",""
"rt_025","@AmericanAir help! I forgot to use the promo code when booking, can it be added after the fact??","","","","","",""
"rt_026","Hey @AmericanAir if I spend my 500 mile upgrade requests &amp; then am sitting behind open seats in first class it kinda adds insult to injury.","","","","","",""
"rt_027","@131657 am i allowed into @AmericanAir lounge at ord ter4 being oneworld sapphire? Somehow @AmericanAir agents at club thinks qatar is not OW and not letting me in. Do u want a video recording?","","","","","",""
"rt_028","Terrible customer service and treatment at LAX today from @AmericanAir charging double for a carry-on bag","","","","","",""
"rt_029","@AmericanAir Can I use my voucher to pay for my checked bags? Or food? Or Amenities?","","","","","",""
"rt_030","@AmericanAir look what I came across at the tokyo film festival. https://t.co/52l5IBCsbv","","","","","",""
"rt_031","@AmericanAir Hi.. if I took a flight from JFK to HKG that was 12k miles, why do I only get 8k award miles?  Isn't it one for one?","","","","","",""
"rt_032","@AmericanAir really starting a bad mood for the whole day. Can't believe you let them be the firat customer interaction #CustomerServicefail","","","","","",""
"rt_033","@AmericanAir Got married, need to change my last name on my Aadvantage. Tried emailing - Trip is Saturday - let's solve it here! Thanks! :-)","","","","","",""
"rt_034","@AmericanAir sent this 50 min ago-no response. Does AA plan to acknowledge Visa dispute USA/Turkey &amp;offer help to those who cant get a visa?","","","","","",""
"rt_035","I need @AmericanAir help tracking lost luggage #AmericanAirlines","","","","","",""
"rt_036","My flight on @116450 in Little Rock  cancelled in AM w/ mech. problems...Jacqueline at gate 9 @AmericanAir got me home today #giveheraraise","","","","","",""
"rt_037",".@americanair JFK - MIA #consulting #early (@ American Airlines Flagship Lounge - @americanair in Jamaica, NY) https://t.co/k8wI3R6h7o","","","","","",""
"rt_038","Y’all, for realzies, @AmericanAir wants you to take adv of this “ltd time,” multi-year offer. 😡 Does @117157 or @749 compensate for this? https://t.co/EYlG8UWVdE","","","","","",""
"rt_039","How about an upgrade on my next leg, @AmericanAir since it's my birthday?","","","","","",""
"rt_040","My @AmericanAir flight got delayed two whole hours...swear y’all trash","","","","","",""
"rt_041","@AmericanAir now we have computer  problems and were shutting down engines!  WTF?  #MuellerMonday not starting well!  Let’s go!","","","","","",""
"rt_042","@AmericanAir bad service, not gonna fly ever again with you guys. #BadCustomerService","","","","","",""
"rt_043","plzzzzz let me fly home to see my family for Christmas :( @AmericanAir","","","","","",""
"rt_044","@AmericanAir - What if a passenger does not have the money for a bag fee when they arrive at the airport? How is that handled?","","","","","",""
"rt_045","Wonderful Flagship Lounge at JFK @AmericanAir https://t.co/6Gmh9xZxpg","","","","","",""
